일자,대관령,장수,진도,태백,해남,홍천,temp
Jan-19,-5.4,-2.16,-0.14,-3.17,0.52,-3.28,-2
Feb-19,-3.33,0.36,0.96,-0.87,2.24,-0.15,0
Mar-19,1.77,5.16,5.76,3.83,6.48,5.82,4
Apr-19,6.13,10.29,6.37,8.06,10.88,11.13,8
May-19,14.54,16.28,12.57,16.33,16.7,18.7,15
Jun-19,16.31,19.89,18.64,17.88,20.48,21.88,19
Jul-19,20.16,23.07,21.59,21.57,20.21,25.35,21
Aug-19,20.97,24.05,5.1,22.52,25.65,26.11,20
Sep-19,16.12,20.05,,17.61,21.96,20.98,19
Oct-19,10.08,13.04,,11.49,15.79,14.05,12
Nov-19,2.86,-0.72,,4.81,10.07,5.64,4
Dec-19,-2.79,0.7,,-0.74,3.63,-0.25,0
Jan-20,-3.13,0.72,,-1.27,3.88,-0.14,0
Feb-20,-2.8,1.67,,-0.64,4.18,1.21,0
Mar-20,2.13,6.06,,4.22,7.51,6.82,5
Apr-20,4.84,8.17,,6.74,9.7,10.07,7
May-20,12.78,16.51,,14.84,17.15,17.18,15
Jun-20,18.73,21.48,,20.59,13.91,23.23,19
Jul-20,17.99,21.59,,19.04,22.67,22.98,20
Aug-20,22.15,25.29,,23.26,27.38,25.52,24
Sep-20,14.69,17.8,,15.83,20.85,18.86,17
Oct-20,7.86,11.06,,9.8,14.27,11.2,10
Nov-20,3.38,6.24,,5.63,9.98,5.59,6
Dec-20,-5.4,-1.79,,-2.61,1.44,-3.27,-2
Jan-21,-9.5,-5.8,,-6.2,-0.6,-7.1,-5
